location_no,listing_id,street,city,state,zipcode,latitude,longitude,is_location_exact
1,241032,Gilman Dr W,Seattle,WA,98119,47.63628904,-122.3710252,t
2,953595,"7th Avenue West,",Seattle,WA,98119,47.63912312,-122.3656665,t
3,3308979,"West Lee Street,",Seattle,WA,98119,47.62972413,-122.3694832,t
4,7421966,"8th Avenue West,",Seattle,WA,98119,47.6384732,-122.3692791,t
5,278830,"14th Ave W,",Seattle,WA,98119,47.6329184,-122.3724706,t
6,5956968,"West Comstock Street,",Seattle,WA,98119,47.63052548,-122.3661741,t
7,1909058,"10th Avenue West,",Seattle,WA,98119,47.63660545,-122.3685191,t
8,856550,"West Wheeler Street,",Seattle,WA,98119,47.64016054,-122.375856,t
9,4948745,Queen Anne Avenue North,Seattle,WA,98109,47.6324103,-122.3572161,t
10,2493658,"7th Avenue West,",Seattle,WA,98119,47.63749172,-122.3668886,t
11,175576,"1st Ave W,",Seattle,WA,98119,47.63548171,-122.3584778,t
12,4454295,"3rd Avenue West,",Seattle,WA,98119,47.63721408,-122.3600458,t
13,3883392,"West Howe Street,",Seattle,WA,98119,47.63554551,-122.3731708,t
14,8889257,"West Prospect Street,",Seattle,WA,98119,47.62950681,-122.3676293,t
15,5680462,"7th Avenue West,",Seattle,WA,98119,47.63920266,-122.3658627,t
16,8988178,"12th Avenue West,",Seattle,WA,98119,47.63564979,-122.3728928,f
17,3245876,"West Mercer Place,",Seattle,WA,98119,47.62620037,-122.3666019,t
18,4933447,"12th Avenue West,",Seattle,WA,98119,47.64064588,-122.3724059,t
19,7735464,"11th Avenue West,",Seattle,WA,98119,47.63977587,-122.3722354,t
20,6291829,"1st Avenue West,",Seattle,WA,98119,47.63602478,-122.3586936,t
21,9218403,"West Olympic Place,",Seattle,WA,98119,47.62794034,-122.3649587,f
22,4125779,"2nd Avenue West,",Seattle,WA,98119,47.63637426,-122.3610334,t
23,8942678,"1st Avenue West,",Seattle,WA,98119,47.63563222,-122.3588809,t
24,10106055,"West Galer Street,",Seattle,WA,98119,47.63339396,-122.3719199,t
25,6362362,"10th Avenue West,",Seattle,WA,98119,47.63851671,-122.369581,t
26,3544550,"7th Avenue West,",Seattle,WA,98119,47.63139735,-122.3677669,t
27,9025039,"West McGraw Street,",Seattle,WA,98119,47.63875224,-122.3679727,t
28,3200646,"West Wheeler Street,",Seattle,WA,98119,47.63926602,-122.3747258,t
29,8859380,"9th Avenue West,",Seattle,WA,98119,47.62990712,-122.3689481,t
30,4520099,"14th Avenue West,",Seattle,WA,98119,47.63981587,-122.3743385,t
31,2481869,"7th Avenue West,",Seattle,WA,98119,47.63900778,-122.3653201,t
32,1110749,"5th Avenue West,",Seattle,WA,98119,47.63508504,-122.3644435,t
33,5978498,"11th Avenue West,",Seattle,WA,98119,47.64063323,-122.3727094,t
34,5021081,"14th Avenue West,",Seattle,WA,98119,47.63812149,-122.37579,t
35,1686930,"West Galer Street,",Seattle,WA,98119,47.62981553,-122.3662123,t
36,7680289,"12th Avenue West,",Seattle,WA,98119,47.63981019,-122.3738006,t
37,7207641,"3rd Avenue West,",Seattle,WA,98119,47.63556952,-122.3616526,t
38,5062445,"West Howe Street,",Seattle,WA,98119,47.63497873,-122.3588694,t
39,8925878,"12th Avenue West,",Seattle,WA,98119,47.6393621,-122.3724026,t
40,6389657,"Queen Anne Avenue North, ",Seattle,WA,98109,47.63461628,-122.3580227,t
41,4218733,"W. Crockett St.,",Seattle,WA,98119,47.63800138,-122.3610048,t
42,2715623,"-11th Ave. W.,",Seattle,WA,98119,47.63199585,-122.3716577,t
43,1392332,"11th Avenue West,",Seattle,WA,98119,47.63868624,-122.3707999,t
44,7308567,"3rd Avenue West,",Seattle,WA,98119,47.63365004,-122.3604497,t
45,6575380,"1st Avenue North,",Seattle,WA,98109,47.63430018,-122.3570598,t
46,6004058,"West Olympic Place,",Seattle,WA,98119,47.62834387,-122.3664054,t
47,9550869,"10th Avenue West,",Seattle,WA,98119,47.63539394,-122.3689911,t
48,8515408,"3rd Avenue West,",Seattle,WA,98119,47.63803516,-122.3609101,t
49,5383192,"West Boston Street,",Seattle,WA,98119,47.63933159,-122.3615994,t
50,1112092,"6th Avenue West,",Seattle,WA,98119,47.63530805,-122.3665317,t
51,7772661,"10th Avenue West,",Seattle,WA,98119,47.63737488,-122.3694109,t
52,9254900,"13th Avenue West,",Seattle,WA,98119,47.63829757,-122.3737787,f
53,7714294,"10th Avenue West,",Seattle,WA,98119,47.63175344,-122.3712717,t
54,10310373,"14th Avenue West,",Seattle,WA,98119,47.63858056,-122.3753257,t
55,9368342,"8th Avenue West,",Seattle,WA,98119,47.63788372,-122.3673711,t
56,6361863,"3rd Avenue West,",Seattle,WA,98119,47.63751735,-122.3608117,t
57,8105221,"Gilman Drive West,",Seattle,WA,98119,47.63687418,-122.3722717,t
58,3269390,"6th Avenue West,",Seattle,WA,98119,47.63256274,-122.3672228,t
59,4566393,"7th Avenue West,",Seattle,WA,98119,47.63532192,-122.3661211,t
60,9282409,"9th Avenue West,",Seattle,WA,98119,47.63263391,-122.3693184,t
61,8095168,"10th Avenue West,",Seattle,WA,98119,47.63260004,-122.3699524,t
62,2746782,"West Wheeler Street,",Seattle,WA,98119,47.64105215,-122.3750817,t
63,6424982,"9th Avenue West,",Seattle,WA,98119,47.63140095,-122.3676901,t
64,762029,"W Wheeler St,",Seattle,WA,98119,47.64152493,-122.3761504,t
65,8988281,"5th Avenue West,",Seattle,WA,98119,47.6353107,-122.3635056,t
66,7077910,"28th Ave NW,",Seattle,WA,98107,47.66932717,-122.3925936,f
67,3772674,"Northwest 61st Street,",Seattle,WA,98107,47.67407416,-122.3938641,t
68,7021906,"Northwest 61st Street,",Seattle,WA,98107,47.67362807,-122.389302,t
69,7618605,"Northwest 56th Street,",Seattle,WA,98107,47.66845996,-122.379516,t
70,10234558,"NW 57th St,",Seattle,WA,98107,47.67066232,-122.3786659,f
71,7021702,"Northwest 59th Street,",Seattle,WA,98107,47.67264618,-122.389333,t
72,7680439,"Northwest 61st Street,",Seattle,WA,98107,47.67317538,-122.3822596,t
73,4258515,"Northwest Market Street,",Seattle,WA,98107,47.667933,-122.3786525,t
74,1148517,"26th Avenue Northwest,",Seattle,WA,98107,47.67296864,-122.3973382,t
75,2487892,"26th Avenue Northwest,",Seattle,WA,98107,47.66862742,-122.3894959,t
76,3038772,"Northwest 56th Street,",Seattle,WA,98107,47.67011138,-122.3938693,t
77,699460,"NW 60th St,",Seattle,WA,98107,47.6716905,-122.3852391,t
78,4085439,"Northwest 59th Street,",Seattle,WA,98107,47.67083618,-122.3925371,t
79,8053990,"Northwest 56th Street,",Seattle,WA,98107,47.67088677,-122.3930293,t
80,7011773,"Northwest 56th Street,",Seattle,WA,98107,47.67011497,-122.3929944,t
81,2467550,"Northwest 61st Street,",Seattle,WA,98107,47.67430793,-122.3767423,t
82,2686374,"Northwest 60th Street,",Seattle,WA,98107,47.67125039,-122.3826391,t
83,1956274,"Northwest 56th Street,",Seattle,WA,98107,47.66869206,-122.3960894,t
84,8537192,"Northwest 60th Street,",Seattle,WA,98107,47.67180552,-122.3880471,t
85,5919096,"Seattle, WA 98107, United States",Seattle,WA,98107,47.6714184,-122.3853854,t
86,6516529,"22nd Avenue Northwest,",Seattle,WA,98107,47.66874895,-122.38387,t
87,3294243,"24th Avenue Northwest,",Seattle,WA,98107,47.67268172,-122.3877307,t
88,10210971,"Northwest 58th Street,",Seattle,WA,98107,47.66968185,-122.3909885,f
89,3584790,"Northwest 65th Street, ",Seattle,WA,98117,47.67504404,-122.3827149,t
90,1266459,"Northwest 57th Street,",Seattle,WA,98107,47.66797917,-122.3821054,t
91,9098059,"Northwest 60th Street,",Seattle,WA,98107,47.67324985,-122.3873317,t
92,408526,"NW 63rd St,",Seattle,WA,98107,47.67553327,-122.376324,t
93,4118282,"24th Avenue Northwest, ",Seattle,WA,98117,47.67570811,-122.3875594,t
94,6813483,"Northwest 62nd Street,",Seattle,WA,98107,47.67477103,-122.3858305,t
95,6590264,"Northwest Market Street,",Seattle,WA,98107,47.66987432,-122.3877174,t
96,2650482,"Northwest 58th Street,",Seattle,WA,98107,47.67097576,-122.3878253,t
97,20927,"NW 60th St,",Seattle,WA,98107,47.67333939,-122.3951203,t
98,4395578,"20th Ave NW and NW 59th St,",Seattle,WA,98107,47.67100489,-122.3813814,f
99,4995903,"Northwest 61st Street,",Seattle,WA,98107,47.67170353,-122.3763381,t
100,5549211,"Northwest 61st Street,",Seattle,WA,98107,47.67175997,-122.3900201,t
101,8240758,"24th Avenue Northwest,",Seattle,WA,98107,47.67481867,-122.3875212,t
102,6856295,"Northwest 62nd Street,",Seattle,WA,98107,47.67300401,-122.3850048,t
103,6881188,"28th Avenue Northwest,",Seattle,WA,98107,47.67039453,-122.393897,t
104,1579615,"Northwest 64th Street,",Seattle,WA,98107,47.67582152,-122.3897101,t
105,3766866,"Northwest 58th Street,",Seattle,WA,98107,47.67228446,-122.3823135,t
106,2406966,"Northwest 60th Street,",Seattle,WA,98107,47.67227237,-122.3841322,t
107,4872699,"Northwest 63rd Street,",Seattle,WA,98107,47.67575024,-122.3765799,t
108,5470629,"Northwest 61st Street,",Seattle,WA,98107,47.67260212,-122.3884415,t
109,2950213,"20th Avenue Northwest,",Seattle,WA,98107,47.66676678,-122.3812427,t
110,9015088,"Northwest 65th Street,",Seattle,WA,98117,47.67550084,-122.3889063,t
111,3979496,"Northwest 64th Street,",Seattle,WA,98107,47.67575764,-122.3787983,t
112,7501919,"Northwest Market Street,",Seattle,WA,98107,47.66780059,-122.3883002,t
113,4732995,"Northwest 56th Street,",Seattle,WA,98107,47.66937129,-122.3762878,t
114,7134759,"Northwest 56th Street,",Seattle,WA,98107,47.66896088,-122.3938769,t
115,4532538,"Northwest 60th Street,",Seattle,WA,98107,47.67168771,-122.3925586,t
116,7534398,"20th Avenue Northwest,",Seattle,WA,98107,47.67180998,-122.3834372,t
117,9387189,"Ballard Avenue Northwest,",Seattle,WA,98107,47.66502233,-122.3827968,t
118,6337492,"NW 56th St,",Seattle,WA,98107,47.66898921,-122.3951453,f
119,10231701,"Northwest 57th Street,",Seattle,WA,98107,47.6693543,-122.3903476,t
120,1609922,"Northwest 58th Street,",Seattle,WA,98107,47.67166568,-122.3779123,t
121,4236723,"Northwest 60th Street,",Seattle,WA,98107,47.67058142,-122.3822112,t
122,7843837,"22nd Avenue Northwest,",Seattle,WA,98107,47.67210896,-122.3835885,t
123,3076065,"17th Avenue Northwest,",Seattle,WA,98107,47.67145807,-122.3791745,t
124,6423204,"Northwest 57th Street,",Seattle,WA,98107,47.67155977,-122.382704,t
125,8338849,",",Seattle,WA,98107,47.67283504,-122.3874716,t
126,6401209,"Northwest 61st Street,",Seattle,WA,98107,47.67397129,-122.3893805,t
127,20928,"Nw 60th St,",Seattle,WA,98107,47.6736071,-122.3938029,t
128,3344977,"Northwest 57th Street,",Seattle,WA,98107,47.66939869,-122.389254,t
129,7604621,"Northwest Brygger Place,",Seattle,WA,98107,47.6721767,-122.3903617,t
130,3303978,"Northwest 60th Street,",Seattle,WA,98107,47.67349962,-122.3869636,f
131,7067082,"Ballard Ave NW,",Seattle,WA,98107,47.66934443,-122.3865391,f
132,3121829,"Northwest 58th Street,",Seattle,WA,98107,47.6719218,-122.3806568,t
133,2539881,"Northwest Market Street,",Seattle,WA,98107,47.66934544,-122.3969735,t
134,3678718,"Northwest Market Street,",Seattle,WA,98107,47.66746398,-122.3782553,t
135,4694479,"Northwest 58th Street,",Seattle,WA,98107,47.67181197,-122.3889813,t
136,6646843,"Northwest 57th Street,",Seattle,WA,98107,47.67082046,-122.3705111,t
137,1364440,"3rd Avenue Northwest,",Seattle,WA,98107,47.6637344,-122.3620801,t
138,1781873,"Northwest 47th Street,",Seattle,WA,98107,47.6675968,-122.3647017,t
139,4138423,"8th Avenue Northwest,",Seattle,WA,98107,47.67053238,-122.3653185,t
140,5562674,"Northwest 56th Street,",Seattle,WA,98107,47.66676677,-122.3688235,t
141,1789341,"Northwest 59th Street,",Seattle,WA,98107,47.67235398,-122.3661749,t
142,4672934,"Northwest 51st Street,",Seattle,WA,98107,47.66583687,-122.3701323,t
143,4550099,"Northwest 62nd Street,",Seattle,WA,98107,47.67433308,-122.375678,t
144,1198799,"Northwest 60th Street,",Seattle,WA,98107,47.67269174,-122.3735586,t
145,5308429,"Northwest 65th Street, ",Seattle,WA,98117,47.67529056,-122.3704741,t
146,2769088,"6th Avenue Northwest,",Seattle,WA,98107,47.66899339,-122.3628603,t
147,7603135,"Northwest 56th Street,",Seattle,WA,98107,47.66879475,-122.3616125,t
148,9374365,"14th Avenue Northwest,",Seattle,WA,98107,47.67388232,-122.3746263,t
149,6106498,"Northwest 52nd Street,",Seattle,WA,98107,47.66578734,-122.3619923,t
150,9331449,"14th Avenue Northwest,",Seattle,WA,98107,47.67228263,-122.3731616,t
151,8799162,"3rd Avenue Northwest,",Seattle,WA,98107,47.66835401,-122.3611388,t
152,4317390,"8th Avenue Northwest,",Seattle,WA,98107,47.66880846,-122.3662618,t
153,3884851,"Northwest 56th Street,",Seattle,WA,98107,47.66832396,-122.3718212,t
154,3155785,"5th Avenue Northwest,",Seattle,WA,98107,47.6723724,-122.3628417,t
155,9368517,"Northwest 47th Street,",Seattle,WA,98107,47.66388206,-122.3621749,t
156,5643240,"Northwest 57th Street,",Seattle,WA,98107,47.67092865,-122.3667818,t
157,5042014,"Northwest 60th Street,",Seattle,WA,98107,47.67261671,-122.3743927,t
158,7724630,"5th Avenue Northwest,",Seattle,WA,98107,47.67271728,-122.3614171,t
159,9449437,"14th Avenue Northwest,",Seattle,WA,98107,47.67274336,-122.3731945,t
160,3053237,"Northwest 50th Street,",Seattle,WA,98107,47.66454921,-122.3682089,t
161,8132347,"Northwest 51st Street,",Seattle,WA,98107,47.66658567,-122.3656518,t
162,63733,"Nw 60th St,",Seattle,WA,98107,47.67171434,-122.3658876,t
163,2039149,"Seattle, WA, United States",Seattle,WA,,47.66686785,-122.3640313,t
164,227636,"NW 50th St,",Seattle,WA,98107,47.66807053,-122.3620862,t
165,3689119,"6th Avenue Northwest,",Seattle,WA,98107,47.67212369,-122.3650094,t
166,1179538,"14th Avenue Northwest,",Seattle,WA,98107,47.67358404,-122.3738143,t
167,6823781,"Northwest 49th Street,",Seattle,WA,98107,47.66337838,-122.3646915,t
168,2284536,"8th Avenue Northwest,",Seattle,WA,98107,47.66934139,-122.3662641,t
169,5143441,"NW 50th St,",Seattle,WA,98107,47.66493716,-122.3616797,f
170,5749958,"Northwest 56th Street,",Seattle,WA,98107,47.66884467,-122.3683793,t
171,9116815,"Northwest 48th Street,",Seattle,WA,98107,47.6650167,-122.3647071,f
172,7731836,"Northwest 54th Street,",Seattle,WA,98107,47.66893752,-122.3733392,t
173,10262971,"Northwest 51st Street,",Seattle,WA,98107,47.66597002,-122.3686393,t
174,1407502,"Northwest 62nd Street,",Seattle,WA,98107,47.67431327,-122.3679688,t
175,8817038,"Northwest 51st Street,",Seattle,WA,98107,47.66520903,-122.3624565,f
176,4449303,"Northwest 51st Street,",Seattle,WA,98107,47.66444545,-122.370171,t
177,8255615,"Northwest 53rd Street,",Seattle,WA,98107,47.66682168,-122.3629367,t
178,4053092,"7th Avenue Northwest,",Seattle,WA,98107,47.67122243,-122.3636869,t
179,6886633,"Northwest 48th Street,",Seattle,WA,98107,47.66365549,-122.3669411,t
180,8820414,"Northwest 64th Street,",Seattle,WA,98107,47.67548903,-122.3675145,t
181,3052151,"6th Avenue Northwest,",Seattle,WA,98107,47.66688717,-122.3646641,t
182,2339333,"7th Ave NW,",Seattle,WA,98107,47.67357118,-122.3642743,f
183,1618842,"Northwest 52nd Street,",Seattle,WA,98107,47.66524464,-122.3704095,t
184,888967,"Northwest 60th Street,",Seattle,WA,98107,47.67167956,-122.3653898,t
185,380950,"NW 50th St,",Seattle,WA,98107,47.66624017,-122.3609177,t
186,8097708,"7th Avenue Northwest,",Seattle,WA,98107,47.67091242,-122.3655995,t
187,5671843,"Northwest 60th Street,",Seattle,WA,98107,47.67098702,-122.3751406,t
188,904057,"Northwest 64th Street,",Seattle,WA,98107,47.66539135,-122.3660988,t
189,7161725,"Northwest 64th Street,",Seattle,WA,98107,47.67342403,-122.3742328,t
190,9587410,"Northwest 59th Street,",Seattle,WA,98107,47.67155243,-122.3676333,t
191,9202380,"3rd Avenue Northwest,",Seattle,WA,98107,47.66338811,-122.3613784,t
192,2238105,"6th Avenue Northwest,",Seattle,WA,98107,47.66336498,-122.3624685,t
193,9545766,"Northwest 57th Street,",Seattle,WA,98107,47.67076135,-122.371095,t
194,2441908,"Northwest 63rd Street, Ballard,","Ballard, Seattle",WA,98107,47.67591574,-122.3704736,t
195,9367465,"Northwest 47th Street,",Seattle,WA,98107,47.66365131,-122.3620818,t
196,3031415,"6th Avenue Northwest,",Seattle,WA,98107,47.66525243,-122.3619207,t
197,843812,"Northwest 60th Street,",Seattle,WA,98107,47.67133442,-122.3657976,t
198,3835995,"6th Avenue Northwest,",Seattle,WA,98107,47.67307821,-122.3641401,t
199,9732638,"Northwest 52nd Street,",Seattle,WA,98107,47.66678535,-122.3667514,t
200,3768745,"Galer St, Seattle, ",Seattle,WA,98109,47.63184304,-122.3451235,f
201,3975434,"Aloha Street, Seattle, ",Seattle,WA,98109,47.62812031,-122.3487521,t
202,5620928,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.64359973,-122.3446299,t
203,7381677,"Ward Street, Seattle, ",Seattle,WA,98109,47.62889479,-122.3475714,t
204,5487934,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.63899882,-122.3435739,t
205,9028447,"8th Ave N, Seattle, ",Seattle,WA,98109,47.63950083,-122.3433039,f
206,757840,"Galer St., Seattle, ",Seattle,WA,98109,47.63152636,-122.3562828,t
207,8848403,"Aurora Avenue North, Seattle, ",Seattle,WA,98109,47.64017717,-122.3465226,t
208,7430926,"Aurora Avenue North, Seattle, ",Seattle,WA,98109,47.64290503,-122.346705,t
209,7021544,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.64075557,-122.3428766,t
210,1323446,"Warren Avenue North, Seattle, ",Seattle,WA,98109,47.63544456,-122.3555166,t
211,3925573,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.64269717,-122.3436911,t
212,8723086,"Dexter Ave N, Seattle, ",Seattle,WA,98109,47.63892301,-122.3428269,f
213,781474,"Westlake Ave N, Seattle, ",Seattle,WA,98109,47.64291211,-122.3446833,t
214,9812439,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.63934586,-122.3431324,t
215,3401644,"2nd Avenue North, Seattle, ",Seattle,WA,98109,47.63507293,-122.3545941,t
216,10036903,"Queen Anne Avenue North, Seattle, ",Seattle,WA,98109,47.62857355,-122.3559092,t
217,5310193,"4th Avenue North, Seattle, ",Seattle,WA,98109,47.63793826,-122.3507256,t
218,5308875,"6th Ave N, Seattle, ",Seattle,WA,98109,47.62930931,-122.3441362,f
219,5052459,"6th Avenue North, Seattle, ",Seattle,WA,98109,47.6305064,-122.3450221,t
220,7228499,"Highland Drive, Seattle, ",Seattle,WA,98109,47.630214,-122.3476151,t
221,7651653,"Highland Drive, Seattle, ",Seattle,WA,98109,47.62954816,-122.3465966,t
222,1494986,"Taylor Avenue North, Seattle, ",Seattle,WA,98109,47.6337667,-122.3446154,t
223,1783382,"Taylor Avenue N, Seattle, ",Seattle,WA,98109,47.63444164,-122.3437841,t
224,7513198,"Taylor Avenue North, Seattle, ",Seattle,WA,98109,47.63211913,-122.3468193,t
225,8308316,", Seattle, ",Seattle,WA,98109,47.63043465,-122.3501712,t
226,9694921,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.63840684,-122.344077,t
227,2472850,"Prospect Street, Seattle, ",Seattle,WA,98109,47.62900387,-122.3438233,t
228,5487522,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.63935867,-122.3440287,t
229,4016650,"Birch Avenue North, Seattle, ",Seattle,WA,98109,47.64011972,-122.3445298,t
230,10229434,"6th Avenue North, Seattle, ",Seattle,WA,98109,47.63815778,-122.3441574,f
231,3479241,"8th Avenue North, Seattle, ",Seattle,WA,98109,47.63987162,-122.3418345,t
232,5848400,"4th Avenue N and Garfield St, Seattle, ",Seattle,WA,98109,47.63214523,-122.3506487,f
233,6077760,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.63453262,-122.3437901,t
234,4642956,"Highland Drive, Seattle, ",Seattle,WA,98109,47.62994743,-122.351388,t
235,1167507,"Bigelow Avenue North, Seattle, ",Seattle,WA,98109,47.63192143,-122.3485203,t
236,6044106,"Aurora Avenue North, Seattle, ",Seattle,WA,98109,47.64154276,-122.3446612,t
237,1799255,"3rd Avenue North, Seattle, ",Seattle,WA,98109,47.63812903,-122.352374,t
238,8941768,"Taylor Avenue North, Seattle, ",Seattle,WA,98109,47.63279988,-122.3465579,t
239,6569950,"Queen Anne Avenue North, Seattle, ",Seattle,WA,98109,47.63082669,-122.3562298,t
240,7733192,"Taylor Avenue North, Seattle, ",Seattle,WA,98109,47.6327564,-122.3469865,t
241,9215782,"Prospect Street, Seattle, ",Seattle,WA,98109,47.62846484,-122.3465481,t
242,5175631,"6th Avenue North, Seattle, ",Seattle,WA,98109,47.64236917,-122.3440864,t
243,6315614,"Taylor Avenue North, Seattle, ",Seattle,WA,98109,47.6293877,-122.3459247,t
244,9134193,"West Crockett Street,",Seattle,WA,98119,47.63685503,-122.3568735,t
245,2481189,"Dexter Avenue North, Seattle, ",Seattle,WA,98109,47.63630285,-122.3478271,t
