price_no,listing_id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights
1,241032,$85.00 ,,,,,2,$5.00 ,1,365
2,953595,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,90
3,3308979,$975.00 ,,,"$1,000.00 ",$300.00 ,10,$25.00 ,4,30
4,7421966,$100.00 ,$650.00 ,"$2,300.00 ",,,1,$0.00 ,1,1125
5,278830,$450.00 ,,,$700.00 ,$125.00 ,6,$15.00 ,1,1125
6,5956968,$120.00 ,$800.00 ,,,$40.00 ,1,$30.00 ,1,6
7,1909058,$80.00 ,$575.00 ,,$150.00 ,,1,$10.00 ,3,14
8,856550,$60.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7
9,4948745,$90.00 ,$500.00 ,"$1,700.00 ",,,1,$0.00 ,3,1125
10,2493658,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,365
11,175576,$95.00 ,$595.00 ,,,$15.00 ,2,$15.00 ,3,7
12,4454295,$99.00 ,$800.00 ,"$2,000.00 ",$500.00 ,$150.00 ,1,$0.00 ,3,1125
13,3883392,$245.00 ,"$1,575.00 ","$5,800.00 ",$300.00 ,$95.00 ,1,$0.00 ,3,14
14,8889257,$165.00 ,,"$5,000.00 ",$400.00 ,$85.00 ,4,$20.00 ,2,1125
15,5680462,$461.00 ,,,"$1,500.00 ",$300.00 ,8,$50.00 ,3,29
16,8988178,$109.00 ,,,,$89.00 ,1,$0.00 ,3,15
17,3245876,$66.00 ,,,$100.00 ,$35.00 ,1,$25.00 ,1,10
18,4933447,$99.00 ,,,$100.00 ,$15.00 ,1,$0.00 ,2,14
19,7735464,$200.00 ,,,,,1,$0.00 ,1,1125
20,6291829,$700.00 ,"$4,100.00 ",,$500.00 ,$250.00 ,1,$0.00 ,3,30
21,9218403,$110.00 ,$750.00 ,"$2,500.00 ",,,1,$0.00 ,1,1125
22,4125779,$99.00 ,$568.00 ,"$2,029.00 ",,$15.00 ,1,$10.00 ,1,1125
23,8942678,$450.00 ,"$3,000.00 ",,,,1,$0.00 ,4,1125
24,10106055,$75.00 ,$350.00 ,,,,1,$0.00 ,1,1125
25,6362362,$600.00 ,,,$500.00 ,$150.00 ,1,$0.00 ,3,1125
26,3544550,$450.00 ,,,$500.00 ,$200.00 ,6,$50.00 ,4,1125
27,9025039,$150.00 ,,,$250.00 ,$35.00 ,1,$0.00 ,1,1125
28,3200646,$45.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7
29,8859380,$300.00 ,,,$500.00 ,$125.00 ,1,$0.00 ,2,1125
30,4520099,$80.00 ,$500.00 ,,,$65.00 ,3,$50.00 ,2,1125
31,2481869,$175.00 ,"$1,000.00 ","$3,200.00 ",,$40.00 ,1,$0.00 ,2,365
32,1110749,$325.00 ,,,$500.00 ,$100.00 ,6,$60.00 ,2,1125
33,5978498,$175.00 ,$699.00 ,"$2,388.00 ",$200.00 ,$80.00 ,1,$0.00 ,4,120
34,5021081,$222.00 ,"$1,325.00 ","$4,650.00 ",$500.00 ,$250.00 ,7,$75.00 ,2,1125
35,1686930,$159.00 ,,,$250.00 ,$99.00 ,1,$0.00 ,1,1125
36,7680289,$125.00 ,$800.00 ,"$2,700.00 ",,$50.00 ,2,$25.00 ,2,365
37,7207641,$348.00 ,"$2,500.00 ",,$750.00 ,$150.00 ,6,$20.00 ,3,1125
38,5062445,$45.00 ,$450.00 ,"$1,500.00 ",,,1,$0.00 ,1,1125
39,8925878,$150.00 ,$950.00 ,"$2,950.00 ",,$50.00 ,2,$25.00 ,2,365
40,6389657,$80.00 ,,,,$20.00 ,1,$0.00 ,3,1125
41,4218733,$110.00 ,,,$100.00 ,$40.00 ,2,$15.00 ,2,1125
42,2715623,$148.00 ,,,,$100.00 ,2,$20.00 ,3,365
43,1392332,$350.00 ,"$2,100.00 ",,$500.00 ,$100.00 ,4,$0.00 ,2,30
44,7308567,$150.00 ,,,,$50.00 ,1,$0.00 ,2,1125
45,6575380,$150.00 ,$540.00 ,"$1,911.00 ",,,1,$0.00 ,1,1125
46,6004058,$100.00 ,,,,,1,$0.00 ,1,1125
47,9550869,$349.00 ,,,,$200.00 ,1,$0.00 ,1,1125
48,8515408,$110.00 ,$700.00 ,,,$50.00 ,1,$0.00 ,2,1125
49,5383192,$160.00 ,"$1,140.00 ",,$100.00 ,$55.00 ,2,$25.00 ,2,1125
50,1112092,$130.00 ,"$1,000.00 ","$2,700.00 ",$140.00 ,$75.00 ,2,$25.00 ,3,1125
51,7772661,$99.00 ,,,,$50.00 ,2,$50.00 ,1,1125
52,9254900,$100.00 ,,"$2,000.00 ",,$40.00 ,1,$0.00 ,1,1125
53,7714294,$137.00 ,$815.00 ,,,$20.00 ,2,$20.00 ,2,1125
54,10310373,$20.00 ,,,,,1,$0.00 ,1,1125
55,9368342,$150.00 ,,,$500.00 ,$50.00 ,2,$30.00 ,4,1125
56,6361863,$145.00 ,,,$100.00 ,$30.00 ,2,$10.00 ,2,1125
57,8105221,$80.00 ,,,,,1,$0.00 ,1,1125
58,3269390,$95.00 ,,,$200.00 ,$60.00 ,1,$0.00 ,3,1125
59,4566393,$400.00 ,"$2,100.00 ","$7,500.00 ",$750.00 ,$120.00 ,4,$20.00 ,2,1125
60,9282409,$85.00 ,$450.00 ,,,,1,$0.00 ,2,1125
61,8095168,$70.00 ,,,,$20.00 ,1,$0.00 ,1,1125
62,2746782,$90.00 ,$540.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,14
63,6424982,$80.00 ,,,,,2,$15.00 ,1,6
64,762029,$60.00 ,$360.00 ,,$150.00 ,$25.00 ,2,$0.00 ,2,7
65,8988281,$175.00 ,,,$250.00 ,$78.00 ,4,$50.00 ,1,15
66,7077910,$170.00 ,"$1,195.00 ","$3,195.00 ",$250.00 ,$100.00 ,6,$100.00 ,4,1125
67,3772674,$85.00 ,$650.00 ,,,$50.00 ,2,$20.00 ,3,1125
68,7021906,$465.00 ,"$3,035.00 ","$12,140.00 ","$1,000.00 ",$250.00 ,1,$0.00 ,3,1125
69,7618605,$175.00 ,,,$250.00 ,$50.00 ,1,$0.00 ,1,1125
70,10234558,$50.00 ,,,,,0,$0.00 ,1,1125
71,7021702,$60.00 ,,,,,1,$0.00 ,1,1125
72,7680439,$59.00 ,$351.00 ,,,$12.00 ,1,$0.00 ,1,1125
73,4258515,$47.00 ,,,$200.00 ,$15.00 ,2,$10.00 ,1,1125
74,1148517,$145.00 ,,,$100.00 ,$45.00 ,4,$30.00 ,2,14
75,2487892,$70.00 ,,,,,1,$0.00 ,1,1125
76,3038772,$55.00 ,,,$100.00 ,$25.00 ,1,$10.00 ,2,1125
77,699460,$95.00 ,,"$2,000.00 ",,$30.00 ,2,$35.00 ,2,90
78,4085439,$125.00 ,,,,,1,$0.00 ,1,1125
79,8053990,$65.00 ,,,,$45.00 ,1,$0.00 ,1,26
80,7011773,$25.00 ,,,,,1,$0.00 ,1,1125
81,2467550,$40.00 ,$250.00 ,$800.00 ,$500.00 ,$50.00 ,2,$10.00 ,5,1125
82,2686374,$149.00 ,"$1,300.00 ","$3,950.00 ",,,4,$20.00 ,1,1125
83,1956274,$125.00 ,$900.00 ,"$3,750.00 ",$250.00 ,$75.00 ,0,$0.00 ,3,1125
84,8537192,$55.00 ,,,,,1,$0.00 ,1,1125
85,5919096,$129.00 ,$903.00 ,,$250.00 ,$75.00 ,1,$0.00 ,5,999
86,6516529,$100.00 ,$650.00 ,"$2,000.00 ",,,1,$0.00 ,1,1125
87,3294243,$150.00 ,$950.00 ,,,,1,$0.00 ,2,1125
88,10210971,$50.00 ,,,$500.00 ,$10.00 ,1,$20.00 ,1,1125
89,3584790,$99.00 ,$599.00 ,,$200.00 ,,4,$0.00 ,5,15
90,1266459,$150.00 ,,,,$60.00 ,2,$50.00 ,2,1125
91,9098059,$105.00 ,,,,,1,$0.00 ,2,1125
92,408526,$218.00 ,"$1,221.00 ","$4,200.00 ",$750.00 ,$300.00 ,4,$15.00 ,14,60
93,4118282,$80.00 ,,,$200.00 ,$75.00 ,1,$0.00 ,1,7
94,6813483,$126.00 ,$945.00 ,"$3,970.00 ",$300.00 ,$95.00 ,2,$25.00 ,2,1125
95,6590264,$115.00 ,$750.00 ,,$500.00 ,$50.00 ,2,$50.00 ,1,1125
96,2650482,$225.00 ,,,,$75.00 ,1,$0.00 ,2,10
97,20927,$89.00 ,$549.00 ,,,$10.00 ,2,$0.00 ,2,14
98,4395578,$225.00 ,,,,$264.00 ,1,$0.00 ,3,1125
99,4995903,$50.00 ,$250.00 ,$850.00 ,,,1,$0.00 ,1,1125
100,5549211,$134.00 ,$910.00 ,"$3,402.00 ",$200.00 ,$100.00 ,1,$0.00 ,3,45
101,8240758,$75.00 ,$500.00 ,,,$100.00 ,1,$0.00 ,3,1125
102,6856295,$65.00 ,$555.00 ,"$1,850.00 ",,,2,$15.00 ,1,1125
103,6881188,$375.00 ,"$1,800.00 ",,$300.00 ,$100.00 ,1,$0.00 ,1,1125
104,1579615,$97.00 ,$590.00 ,"$1,795.00 ",$100.00 ,$45.00 ,2,$10.00 ,2,1125
105,3766866,$145.00 ,$900.00 ,"$2,250.00 ",$150.00 ,$45.00 ,2,$25.00 ,2,35
106,2406966,$129.00 ,$903.00 ,,$250.00 ,$75.00 ,1,$0.00 ,5,1125
107,4872699,$197.00 ,"$1,172.00 ",,,$180.00 ,1,$0.00 ,4,29
108,5470629,$120.00 ,,,$350.00 ,$60.00 ,2,$20.00 ,2,28
109,2950213,$200.00 ,"$1,500.00 ","$5,500.00 ",$150.00 ,,4,$100.00 ,2,90
110,9015088,$135.00 ,,,$100.00 ,$50.00 ,4,$15.00 ,1,1125
111,3979496,$70.00 ,$450.00 ,"$1,800.00 ",$250.00 ,,2,$0.00 ,1,1125
112,7501919,$150.00 ,,,$250.00 ,$30.00 ,1,$0.00 ,2,1125
113,4732995,$200.00 ,,,,$50.00 ,1,$0.00 ,2,1125
114,7134759,$60.00 ,,,,$55.00 ,1,$0.00 ,1,26
115,4532538,$180.00 ,,,,$150.00 ,1,$0.00 ,5,1125
116,7534398,$69.00 ,$350.00 ,"$1,250.00 ",,,2,$15.00 ,1,1125
117,9387189,$90.00 ,,,,$25.00 ,2,$15.00 ,1,1125
118,6337492,$80.00 ,$665.00 ,,,,2,$0.00 ,1,1125
119,10231701,$65.00 ,,,,$25.00 ,1,$0.00 ,1,1125
120,1609922,$150.00 ,,,$100.00 ,$90.00 ,2,$10.00 ,4,1125
121,4236723,$195.00 ,"$1,200.00 ","$4,950.00 ",,,4,$20.00 ,1,1125
122,7843837,$149.00 ,,,,,1,$0.00 ,1,7
123,3076065,$224.00 ,,,$600.00 ,$120.00 ,1,$0.00 ,3,1125
124,6423204,$115.00 ,,,$200.00 ,$40.00 ,2,$10.00 ,3,1125
125,8338849,$55.00 ,,,,,1,$0.00 ,1,1125
126,6401209,$338.00 ,"$2,100.00 ","$7,000.00 ",$500.00 ,$200.00 ,6,$0.00 ,3,1125
127,20928,$79.00 ,$499.00 ,,,$10.00 ,1,$0.00 ,2,14
128,3344977,$80.00 ,$500.00 ,"$2,000.00 ",$100.00 ,$15.00 ,1,$0.00 ,1,31
129,7604621,$85.00 ,$525.00 ,,$200.00 ,$35.00 ,1,$0.00 ,2,1125
130,3303978,$80.00 ,$530.00 ,"$1,600.00 ",,$25.00 ,2,$20.00 ,2,100
131,7067082,$49.00 ,,,,$7.00 ,1,$0.00 ,1,1125
132,3121829,$100.00 ,$650.00 ,,$300.00 ,$85.00 ,1,$0.00 ,1,1125
133,2539881,$79.00 ,,,,,1,$0.00 ,1,1125
134,3678718,$75.00 ,$540.00 ,"$1,900.00 ",$250.00 ,$50.00 ,2,$20.00 ,2,14
135,4694479,$57.00 ,$550.00 ,"$2,000.00 ",$100.00 ,$15.00 ,0,$0.00 ,2,28
136,6646843,$99.00 ,,,,$45.00 ,2,$10.00 ,2,1125
137,1364440,$55.00 ,$274.00 ,,,,1,$0.00 ,2,10
138,1781873,$96.00 ,$559.00 ,"$1,974.00 ",,,2,$20.00 ,2,14
139,4138423,$99.00 ,,,$100.00 ,$30.00 ,2,$10.00 ,1,1125
140,5562674,$79.00 ,,,,$35.00 ,1,$0.00 ,1,1125
141,1789341,$115.00 ,$650.00 ,"$1,899.00 ",$200.00 ,$85.00 ,2,$100.00 ,3,365
142,4672934,$350.00 ,"$1,500.00 ",,$500.00 ,$125.00 ,6,$25.00 ,1,1125
143,4550099,$295.00 ,,,$300.00 ,$131.00 ,5,$50.00 ,2,7
144,1198799,$70.00 ,$420.00 ,"$1,300.00 ",$100.00 ,$20.00 ,0,$0.00 ,2,1125
145,5308429,$53.00 ,$400.00 ,"$1,500.00 ",,,1,$0.00 ,14,1125
146,2769088,$110.00 ,$550.00 ,,$100.00 ,,1,$0.00 ,2,14
147,7603135,$225.00 ,"$1,100.00 ",,,$45.00 ,1,$0.00 ,1,1125
148,9374365,$35.00 ,,,$100.00 ,$7.00 ,2,$10.00 ,1,1125
149,6106498,$55.00 ,$390.00 ,,,$15.00 ,1,$10.00 ,1,1125
150,9331449,$45.00 ,,,$100.00 ,$8.00 ,2,$10.00 ,1,1125
151,8799162,$79.00 ,,,,,1,$0.00 ,1,7
152,4317390,$133.00 ,,,$350.00 ,$50.00 ,4,$15.00 ,2,1125
153,3884851,$65.00 ,,,,$5.00 ,1,$0.00 ,2,1125
154,3155785,$61.00 ,$244.00 ,,,$15.00 ,1,$0.00 ,1,1125
155,9368517,$200.00 ,"$1,200.00 ",,$200.00 ,$60.00 ,1,$0.00 ,4,7
156,5643240,$70.00 ,$400.00 ,"$1,100.00 ",$250.00 ,$50.00 ,1,$0.00 ,5,1125
157,5042014,$52.00 ,$300.00 ,"$1,100.00 ",,$20.00 ,1,$0.00 ,30,90
158,7724630,$50.00 ,$400.00 ,,,,1,$15.00 ,1,1125
159,9449437,$275.00 ,,,$500.00 ,$50.00 ,8,$10.00 ,1,1125
160,3053237,$149.00 ,"$1,065.00 ","$3,759.00 ",$100.00 ,$50.00 ,1,$0.00 ,2,1125
161,8132347,$199.00 ,"$1,250.00 ","$4,500.00 ",$150.00 ,$85.00 ,5,$10.00 ,1,1125
162,63733,$89.00 ,,,,,2,$0.00 ,2,14
163,2039149,$225.00 ,,,$300.00 ,$100.00 ,8,$40.00 ,1,90
164,227636,$120.00 ,$698.00 ,"$2,552.00 ",$200.00 ,$55.00 ,2,$10.00 ,2,120
165,3689119,$85.00 ,,,,$30.00 ,1,$0.00 ,2,1125
166,1179538,$80.00 ,,,$200.00 ,$15.00 ,4,$10.00 ,1,1125
167,6823781,$89.00 ,$536.00 ,"$1,875.00 ",,$55.00 ,2,$10.00 ,2,1125
168,2284536,$99.00 ,,,$100.00 ,$30.00 ,2,$10.00 ,2,1125
169,5143441,$110.00 ,,,$95.00 ,$35.00 ,2,$25.00 ,1,16
170,5749958,$180.00 ,"$1,260.00 ",,$250.00 ,$80.00 ,4,$30.00 ,3,1125
171,9116815,$150.00 ,,,,,1,$0.00 ,2,1125
172,7731836,$70.00 ,,,,,1,$0.00 ,1,1125
173,10262971,$70.00 ,,,,,1,$0.00 ,1,1125
174,1407502,$75.00 ,$490.00 ,,$100.00 ,$25.00 ,1,$0.00 ,4,1125
175,8817038,$85.00 ,$488.00 ,"$1,899.00 ",$100.00 ,,4,$10.00 ,2,45
176,4449303,$80.00 ,$650.00 ,"$2,300.00 ",$250.00 ,$25.00 ,1,$25.00 ,1,1125
177,8255615,$90.00 ,$600.00 ,"$2,000.00 ",,$20.00 ,1,$0.00 ,3,30
178,4053092,$80.00 ,,,,,1,$0.00 ,1,1125
179,6886633,$75.00 ,$525.00 ,,$200.00 ,,1,$10.00 ,1,7
180,8820414,$80.00 ,,,,,1,$0.00 ,1,1125
181,3052151,$70.00 ,$400.00 ,,$100.00 ,,1,$0.00 ,2,14
182,2339333,$350.00 ,"$1,950.00 ","$6,900.00 ","$1,000.00 ",$200.00 ,1,$0.00 ,3,1125
183,1618842,$95.00 ,$625.00 ,"$2,000.00 ",,$40.00 ,2,$20.00 ,2,30
184,888967,$90.00 ,,,,,1,$0.00 ,1,1125
185,380950,$435.00 ,"$2,900.00 ",,$500.00 ,$200.00 ,9,$20.00 ,2,1125
186,8097708,$250.00 ,,,,$185.00 ,1,$0.00 ,2,1125
187,5671843,$65.00 ,$440.00 ,"$1,450.00 ",,$20.00 ,1,$0.00 ,14,90
188,904057,$95.00 ,,,$100.00 ,,2,$10.00 ,3,60
189,7161725,$110.00 ,,,,$50.00 ,2,$25.00 ,2,10
190,9587410,$50.00 ,,,,$10.00 ,1,$0.00 ,1,1125
191,9202380,$95.00 ,$500.00 ,"$1,750.00 ",$200.00 ,$20.00 ,2,$0.00 ,1,1125
192,2238105,$100.00 ,$575.00 ,"$1,800.00 ",,$30.00 ,1,$0.00 ,4,15
193,9545766,$89.00 ,,,,,1,$0.00 ,1,1125
194,2441908,$116.00 ,$690.00 ,"$3,450.00 ",,$60.00 ,4,$10.00 ,2,1125
195,9367465,$150.00 ,$950.00 ,"$2,200.00 ",$100.00 ,$50.00 ,2,$10.00 ,2,1125
196,3031415,$275.00 ,,,$250.00 ,$100.00 ,8,$40.00 ,1,1125
197,843812,$180.00 ,,,,,1,$0.00 ,3,21
198,3835995,$97.00 ,$582.00 ,"$1,900.00 ",,,1,$0.00 ,1,1125
199,9732638,$200.00 ,"$1,200.00 ","$3,500.00 ",$200.00 ,$50.00 ,4,$25.00 ,2,1125
200,3768745,$120.00 ,,,,,1,$0.00 ,2,28
201,3975434,$109.00 ,$595.00 ,"$1,950.00 ",,,2,$50.00 ,2,1125
202,5620928,$115.00 ,$805.00 ,,$100.00 ,$20.00 ,1,$0.00 ,2,1125
203,7381677,$199.00 ,"$1,200.00 ","$3,800.00 ",,$80.00 ,2,$35.00 ,2,1125
204,5487934,$150.00 ,,,$95.00 ,,1,$0.00 ,1,1125
205,9028447,$100.00 ,,,,,1,$0.00 ,1,1125
206,757840,$250.00 ,,,$500.00 ,$100.00 ,1,$0.00 ,2,14
207,8848403,$39.00 ,$232.00 ,$819.00 ,,,1,$0.00 ,1,1125
208,7430926,$69.00 ,,,$150.00 ,$55.00 ,3,$30.00 ,2,13
209,7021544,$145.00 ,$715.00 ,"$2,205.00 ",$350.00 ,$60.00 ,4,$10.00 ,2,1125
210,1323446,$98.00 ,$640.00 ,"$2,000.00 ",$300.00 ,$10.00 ,2,$25.00 ,1,99
211,3925573,$130.00 ,$850.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,1125
212,8723086,$85.00 ,$525.00 ,"$1,600.00 ",,,0,$0.00 ,1,1125
213,781474,$85.00 ,$560.00 ,"$2,195.00 ",,$15.00 ,1,$0.00 ,2,180
214,9812439,$73.00 ,$588.00 ,"$2,058.00 ",$350.00 ,$60.00 ,1,$0.00 ,2,1125
215,3401644,$150.00 ,$550.00 ,,$150.00 ,$25.00 ,4,$50.00 ,1,1125
216,10036903,$85.00 ,,,,,1,$0.00 ,3,1125
217,5310193,$190.00 ,"$1,600.00 ",,$500.00 ,$100.00 ,1,$0.00 ,1,1125
218,5308875,$68.00 ,,,$200.00 ,$50.00 ,1,$0.00 ,2,15
219,5052459,$149.00 ,$895.00 ,"$3,150.00 ",$100.00 ,$60.00 ,2,$0.00 ,2,1125
220,7228499,$349.00 ,,,,$100.00 ,1,$0.00 ,1,1125
221,7651653,$105.00 ,,"$2,500.00 ",$750.00 ,$100.00 ,1,$0.00 ,21,1125
222,1494986,$145.00 ,$925.00 ,"$3,625.00 ",$500.00 ,$90.00 ,2,$10.00 ,3,1125
223,1783382,$150.00 ,$900.00 ,,$200.00 ,$40.00 ,1,$10.00 ,2,6
224,7513198,$275.00 ,"$1,750.00 ","$5,500.00 ","$5,000.00 ",$75.00 ,3,$75.00 ,4,1125
225,8308316,$165.00 ,,,,$75.00 ,1,$0.00 ,2,1125
226,9694921,$196.00 ,,,$300.00 ,$65.00 ,5,$25.00 ,2,1125
227,2472850,$195.00 ,,"$3,600.00 ",$100.00 ,$35.00 ,1,$0.00 ,2,14
228,5487522,$200.00 ,,,$95.00 ,,2,$10.00 ,2,1125
229,4016650,$90.00 ,,,$125.00 ,$30.00 ,1,$0.00 ,2,7
230,10229434,$100.00 ,,,,,1,$0.00 ,1,1125
231,3479241,$125.00 ,$800.00 ,"$2,000.00 ",,$30.00 ,1,$25.00 ,2,1125
232,5848400,$250.00 ,,,,$264.00 ,1,$0.00 ,3,1125
233,6077760,$130.00 ,$750.00 ,"$2,500.00 ",$100.00 ,$50.00 ,1,$0.00 ,2,1125
234,4642956,$209.00 ,"$1,400.00 ",,$200.00 ,$90.00 ,2,$25.00 ,3,1125
235,1167507,$110.00 ,$720.00 ,"$2,500.00 ",$150.00 ,$50.00 ,2,$20.00 ,2,1125
236,6044106,$90.00 ,"$1,015.00 ","$3,950.00 ",$350.00 ,$60.00 ,0,$0.00 ,2,1125
237,1799255,$90.00 ,$500.00 ,,,,1,$0.00 ,2,1125
238,8941768,$130.00 ,$700.00 ,"$2,200.00 ",,,2,$0.00 ,1,1125
239,6569950,$175.00 ,,,,,1,$0.00 ,2,3
240,7733192,$749.00 ,"$6,300.00 ","$19,500.00 ","$1,000.00 ",$199.00 ,4,$45.00 ,1,365
241,9215782,$115.00 ,,,,$35.00 ,1,$0.00 ,1,5
242,5175631,$165.00 ,,,$200.00 ,$55.00 ,2,$20.00 ,2,30
243,6315614,$109.00 ,,,,,1,$0.00 ,1,1125
244,9134193,$80.00 ,$428.00 ,"$1,512.00 ",,,1,$0.00 ,1,1125
245,2481189,$285.00 ,"$1,650.00 ",,$300.00 ,$150.00 ,1,$0.00 ,2,365
246,8535897,$80.00 ,$425.00 ,"$1,500.00 ",,$10.00 ,2,$20.00 ,1,1125
247,9476826,$75.00 ,$400.00 ,"$1,350.00 ",,,1,$0.00 ,1,1125
248,3144311,$68.00 ,,,$100.00 ,$100.00 ,2,$10.00 ,20,44
249,9370007,$85.00 ,,,$150.00 ,$60.00 ,2,$15.00 ,2,1125
250,6781308,$125.00 ,,,$300.00 ,$55.00 ,1,$0.00 ,2,1125
251,160222,$110.00 ,$692.00 ,"$2,550.00 ",$800.00 ,$100.00 ,2,$50.00 ,2,1125
252,4250367,$600.00 ,"$3,150.00 ","$11,700.00 ","$1,500.00 ",$175.00 ,1,$0.00 ,3,1125
253,8755479,$235.00 ,,,,$45.00 ,2,$15.00 ,1,1125
254,8829156,$75.00 ,$541.00 ,"$1,911.00 ",,$20.00 ,3,$10.00 ,1,1125
